,State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,poverty_proportion
3139,IL,17,319,west central community unit school district 235,5866,876,140,0.1598173515981735
3140,IL,17,41550,west chicago school district 33,31461,4162,937,0.22513214800576645
3141,IL,17,18480,west harvey-dixmoor public school district 147,11701,1601,685,0.4278575890068707
3142,IL,17,41600,west lincoln-broadwell elementary school district 92,4744,172,12,0.06976744186046512
3143,IL,17,41700,west northfield school district 31,9877,957,166,0.17345872518286312
3144,IL,17,314,west prairie community unit school district 103,4745,703,142,0.2019914651493599
3145,IL,17,41730,west richland community unit school district 2,2221,350,78,0.22285714285714286
3146,IL,17,41750,west washington county community unit district 10,3905,593,60,0.10118043844856661
3147,IL,17,41790,westchester school district 92-5,15981,1499,158,0.10540360240160107
3148,IL,17,1387,western community unit school district 12,3561,597,93,0.15577889447236182
3149,IL,17,41820,western springs school district 101,10276,1819,88,0.04837822979659153
3150,IL,17,41980,westmont community unit school district 201,12719,1777,159,0.08947664603263927
3151,IL,17,10820,westville community unit school district 2,7004,1197,257,0.214703425229741
3152,IL,17,42060,wethersfield community unit school district 230,3921,592,93,0.1570945945945946
3153,IL,17,42210,wheeling community consolidated school district 21,67752,6696,1074,0.1603942652329749
3154,IL,17,42300,whiteside school district 115,12775,1584,278,0.1755050505050505
3155,IL,17,23730,will county school district 92,14865,2018,189,0.09365708622398414
3156,IL,17,42450,williamsfield community unit school district 210,1775,257,30,0.11673151750972763
3157,IL,17,42480,williamsville community unit school district 15,7282,1452,88,0.06060606060606061
3158,IL,17,42510,willow grove school district 46,2058,165,49,0.296969696969697
3159,IL,17,42570,willow springs school district 108,4021,364,114,0.3131868131868132
3160,IL,17,42600,wilmette school district 39,26377,4139,170,0.04107272287992269
3161,IL,17,42630,wilmington community unit school district 209u,9512,1482,196,0.13225371120107962
3162,IL,17,42660,winchester community unit school district 1,3783,660,93,0.1409090909090909
3163,IL,17,42690,windsor community unit school district 1,2260,383,89,0.23237597911227154
3164,IL,17,42720,winfield school district 34,4170,410,27,0.06585365853658537
3165,IL,17,42790,winnebago community unit school district 323,7971,1576,137,0.08692893401015228
3166,IL,17,42840,winnetka school district 36,12050,2196,146,0.06648451730418943
3167,IL,17,42900,winthrop harbor school district 1,6648,680,66,0.09705882352941177
3168,IL,17,42960,wolf branch school district 113,7328,897,89,0.09921962095875139
3169,IL,17,43020,wood dale school district 7,10674,1170,194,0.1658119658119658
3170,IL,17,43050,wood river-hartford elementary school district 15,5998,691,129,0.18668596237337193
3171,IL,17,43110,woodland community consolidated school district 50,51450,7200,545,0.07569444444444444
3172,IL,17,38070,woodland community unit school district 5,3040,448,64,0.14285714285714285
3173,IL,17,43170,woodlawn community consolidated school district 4,2745,305,58,0.1901639344262295
3174,IL,17,43200,woodlawn community high school district 205,3302,200,23,0.115
3175,IL,17,17040,woodridge school district 68,33133,3156,392,0.12420785804816223
3176,IL,17,43330,woodstock community unit school district 200,37199,6386,727,0.11384278108362042
3177,IL,17,43380,worth school district 127,11322,1081,310,0.28677150786308975
3178,IL,17,43960,yorkville community unit school district 115,30031,6452,400,0.06199628022318661
3179,IL,17,43800,zeigler-royalton community unit school district 188,4129,667,203,0.30434782608695654
3180,IL,17,43860,zion elementary school district 6,17518,2569,715,0.2783184118333982
3181,IL,17,43890,zion-benton township high school district 126,44521,2919,462,0.15827338129496402
3182,IN,18,60,adams central community schools,8882,2456,767,0.3122964169381108
3183,IN,18,120,alexandria community school corporation,8681,1507,295,0.1957531519575315
3184,IN,18,150,anderson community school corporation,70652,10715,3008,0.280727951469902
3185,IN,18,180,argos community schools,3855,741,124,0.16734143049932523
3186,IN,18,210,attica consolidated school corporation,4857,840,134,0.1595238095238095
3187,IN,18,270,avon community school corporation,48024,10012,702,0.07011586096683979
3188,IN,18,330,barr-reeve community school corporation,5627,1426,323,0.226507713884993
3189,IN,18,360,bartholomew county school corporation,74257,13108,2013,0.1535703387244431
3190,IN,18,390,batesville community school corporation,12019,2401,210,0.08746355685131195
3191,IN,18,420,baugo community schools,9642,2026,268,0.13228035538005922
3192,IN,18,450,beech grove city schools,14317,2610,706,0.2704980842911877
3193,IN,18,480,benton community school corporation,11004,2127,304,0.14292430653502586
3194,IN,18,570,blackford county schools,12401,2007,429,0.21375186846038863
3195,IN,18,600,bloomfield school district,6842,1122,151,0.13458110516934046
3196,IN,18,660,blue river valley schools,6675,746,159,0.2131367292225201
3197,IN,18,720,bluffton-harrison metropolitan school district,8601,1476,282,0.1910569105691057
3198,IN,18,750,boone township metropolitan school district,6258,1094,157,0.14351005484460694
3199,IN,18,900,bremen public schools,8913,1890,187,0.09894179894179894
3200,IN,18,960,brown county county school corporation,14962,2301,417,0.18122555410691005
3201,IN,18,1020,brownsburg community school corporation,43199,9034,525,0.0581137923400487
3202,IN,18,1050,brownstown central community school corporation,10692,1874,274,0.14621131270010673
3203,IN,18,1060,c. a. beard memorial school corporation,7982,1387,254,0.18312905551550107
3204,IN,18,1170,cannelton city schools,1572,272,87,0.31985294117647056
3205,IN,18,1200,carmel clay schools,91803,20235,784,0.038744749196936004
3206,IN,18,1290,carroll consolidated school corporation,6495,1165,151,0.1296137339055794
3207,IN,18,1410,caston school corporation,4556,809,171,0.21137206427688504
3208,IN,18,1440,center grove community school corporation,42892,8762,521,0.059461310203149965
3209,IN,18,1560,centerville-abington community schools,8354,1614,288,0.17843866171003717
3210,IN,18,1710,central noble community school corporation,8774,1540,218,0.14155844155844155
3211,IN,18,2880,city of east chicago school district,29351,6138,2609,0.42505702183121535
3212,IN,18,1890,clark-pleasant community school corporation,34097,6745,781,0.11578947368421053
3213,IN,18,1920,clarksville community school corporation,9475,1458,334,0.22908093278463648
3214,IN,18,840,clay community schools,25846,4390,858,0.19544419134396354
3215,IN,18,2130,clinton central school corporation,5297,1068,112,0.10486891385767791
3216,IN,18,2160,clinton prairie school corporation,5731,989,120,0.12133468149646107
3217,IN,18,2220,cloverdale community schools,7389,1216,244,0.20065789473684212
3218,IN,18,2400,concord community schools,25289,5114,945,0.18478685960109503
3219,IN,18,2430,covington community school corporation,5354,876,140,0.1598173515981735
3220,IN,18,7020,cowan community school corporation,3710,649,115,0.17719568567026195
3221,IN,18,2440,crawford county community school corporation,11027,1884,483,0.25636942675159236
3222,IN,18,2460,crawfordsville community schools,15577,2387,550,0.2304147465437788
3223,IN,18,12060,crothersville community schools,3526,563,104,0.1847246891651865
3224,IN,18,2490,crown point community school corporation,41321,7574,651,0.08595194085027727
3225,IN,18,2520,culver community schools corporation,6964,1171,207,0.17677198975234842
3226,IN,18,9840,daleville community schools,4014,661,72,0.10892586989409984
3227,IN,18,2550,danville community school corporation,14559,2904,283,0.09745179063360881
3228,IN,18,1590,dekalb county central united school district,24265,4413,548,0.12417856333559936
3229,IN,18,3060,dekalb county eastern community school district,7871,1592,200,0.12562814070351758
3230,IN,18,2610,decatur county community schools,12339,2442,327,0.1339066339066339
3231,IN,18,2640,decatur township metropolitan school district,33512,7099,1426,0.20087336244541484
3232,IN,18,2660,delaware community school corporation,14931,2589,296,0.11432985708767864
3233,IN,18,2700,delphi community school corporation,9540,1723,240,0.13929193267556586
3234,IN,18,2800,duneland school corporation,35197,6458,630,0.09755342211210902
3235,IN,18,2850,east allen county schools,67568,14249,2524,0.17713523756053057
3236,IN,18,2940,east gibson school corporation,6887,1077,181,0.1680594243268338
3237,IN,18,2970,east noble school corporation,23215,4220,591,0.1400473933649289
3238,IN,18,9000,east porter county school corporation,13120,2352,167,0.07100340136054421
3239,IN,18,3000,east washington school corporation,9577,1830,376,0.20546448087431693
3240,IN,18,3030,eastbrook community school corporation,10494,1618,216,0.1334981458590853
3241,IN,18,3090,eastern greene county school district,7972,1508,225,0.14920424403183025
3242,IN,18,3120,eastern hancock county community school corporation,5933,1132,98,0.08657243816254417
3243,IN,18,3150,eastern howard school corporation,6505,1235,147,0.11902834008097166
3244,IN,18,7110,eastern pulaski community school corporation,7244,1204,259,0.21511627906976744
3245,IN,18,3240,edinburgh community school corporation,5204,880,277,0.31477272727272726
3246,IN,18,3270,elkhart community schools,77254,14828,3687,0.24865120043161587
3247,IN,18,3300,elwood community school corporation,9962,1677,401,0.2391174716756112
3248,IN,18,3330,eminence community school corporation,2958,533,60,0.1125703564727955
3249,IN,18,3450,evansville-vanderburgh school corporation,182006,28363,6168,0.2174664175157776
3250,IN,18,3480,fairfield community schools,12140,3029,242,0.07989435457246616
3251,IN,18,3510,fayette county school corporation,23468,4059,824,0.20300566642030057
3252,IN,18,3570,flat rock-hawcreek school corporation,5723,1062,137,0.12900188323917136
3253,IN,18,3630,fort wayne community schools,221951,39156,9330,0.2382776585963837
3254,IN,18,3660,frankfort community schools,17972,3472,751,0.21630184331797234
3255,IN,18,3690,franklin community school corporation,31515,5698,765,0.13425763425763426
3256,IN,18,3700,franklin county community school corporation,17303,3212,453,0.14103362391033625
3257,IN,18,3750,franklin township community school corporation,54747,11271,1261,0.1118800461361015
3258,IN,18,12880,frankton-lapel community schools,12116,2237,348,0.15556548949485918
3259,IN,18,3780,fremont community schools,7067,1089,163,0.14967860422405876
3260,IN,18,3810,frontier school corporation,4069,753,85,0.11288180610889774
3261,IN,18,3840,garrett-keyser-butler community schools,9392,1840,268,0.14565217391304347
3262,IN,18,3870,gary community school corporation,74418,14563,6559,0.4503879695117764
3263,IN,18,3930,goshen community schools,37301,7050,1339,0.1899290780141844
3264,IN,18,3940,greater clark county schools,76835,12659,2033,0.1605972035705822
3265,IN,18,3960,greater jasper consolidated schools,19728,3514,296,0.0842344906089926
3266,IN,18,3990,greencastle community school corporation,14038,1998,326,0.16316316316316315
3267,IN,18,4050,greenfield-central community schools,28240,4932,488,0.0989456609894566
3268,IN,18,4080,greensburg community schools,14507,2628,549,0.2089041095890411
3269,IN,18,4110,greenwood community school corporation,25885,4436,614,0.13841298467087465
3270,IN,18,4170,griffith public schools,16599,2856,442,0.15476190476190477
3271,IN,18,4230,hamilton community schools,4343,701,62,0.0884450784593438
3272,IN,18,4260,hamilton heights school corporation,14167,2671,185,0.06926244852115312
3273,IN,18,10650,hamilton southeastern schools,99325,22579,995,0.04406749634616236
3274,IN,18,4320,hammond school city,80237,15314,4667,0.30475382003395585
3275,IN,18,4350,hanover community school corporation,12297,2239,200,0.08932559178204555
3276,IN,18,4560,highland school town,23449,3561,380,0.10671159786576805
3277,IN,18,4590,hobart school city,23699,3975,559,0.14062893081761008
3278,IN,18,4710,huntington county community school corporation,36706,6093,930,0.15263417035942886
3279,IN,18,4770,indianapolis public schools,306614,49650,21332,0.4296475327291037
3280,IN,18,4800,jac-cen-del community school corporation,5017,869,161,0.1852704257767549
3281,IN,18,4980,jay school corporation,21179,4037,1143,0.2831310378994303
3282,IN,18,5190,jennings county schools,28000,5035,977,0.19404170804369414
3283,IN,18,9120,john glenn school corporation,9938,1905,269,0.14120734908136484
3284,IN,18,5280,kankakee valley school corporation,20160,3889,435,0.11185394703008486
3285,IN,18,5340,knox community school corporation,10952,1949,441,0.2262698819907645
3286,IN,18,5370,kokomo-center township consolidated school corporation,45401,7109,1938,0.2726121817414545
3287,IN,18,5580,la porte community school corporation,38636,6652,1299,0.19527961515333733
3288,IN,18,5400,lafayette school corporation,59773,9256,2502,0.27031114952463264
3289,IN,18,5450,lake central school corporation,65960,11335,818,0.0721658579620644
3290,IN,18,5460,lake ridge schools,12039,2110,815,0.3862559241706161
3291,IN,18,2910,lake station community schools,8476,1487,399,0.26832548755884333
3292,IN,18,5520,lakeland school corporation,15186,3083,469,0.15212455400583846
3293,IN,18,3720,lanesville community school corporation,4097,734,50,0.0681198910081744
3294,IN,18,5670,lawrence township metropolitan school district,99075,18741,3573,0.19065151272610853
3295,IN,18,5700,lawrenceburg community school corporation,10916,1828,369,0.20185995623632386
3296,IN,18,5790,lebanon community school corporation,23664,4004,514,0.12837162837162838
3297,IN,18,5880,liberty-perry community school corporation,6165,1051,127,0.120837297811608
3298,IN,18,5910,linton-stockton school corporation,8336,1371,301,0.21954777534646244
3299,IN,18,6030,logansport community school corporation,23674,4161,897,0.21557317952415284
3300,IN,18,6060,loogootee community school corporation,5750,1026,162,0.15789473684210525
3301,IN,18,6090,maconaquah school corporation,14962,2245,411,0.18307349665924277
3302,IN,18,6120,madison consolidated schools,23044,3702,706,0.19070772555375473
3303,IN,18,6240,madison-grant united school corporation,8488,1459,240,0.1644962302947224
3304,IN,18,6270,manchester community schools,10219,1488,286,0.1922043010752688
3305,IN,18,6390,marion community schools,36066,5028,1860,0.36992840095465396
3306,IN,18,6510,martinsville schools metropolitan school district,30878,5397,1008,0.1867704280155642
3307,IN,18,1230,medora community school corporation,1557,290,85,0.29310344827586204
3308,IN,18,9690,merrillville community school,46843,7780,1730,0.22236503856041132
3309,IN,18,6570,michigan city area schools,48410,7411,2526,0.34084469032519227
3310,IN,18,6600,middlebury community schools,22403,5373,624,0.11613623673925182
3311,IN,18,6630,milan community schools,6145,1173,144,0.12276214833759591
3312,IN,18,6660,mill creek community school corporation,10007,1903,212,0.11140304781923278
3313,IN,18,6840,mishawaka school city,30499,5384,1446,0.2685735512630015
3314,IN,18,6870,mississinewa community school corporation,10650,1876,553,0.2947761194029851
3315,IN,18,6900,mitchell community schools,11904,2022,336,0.1661721068249258
3316,IN,18,7080,monroe central school corporation,5488,960,196,0.20416666666666666
3317,IN,18,630,monroe county community school corporation,125416,13387,2271,0.16964219018450735
3318,IN,18,4140,monroe-gregg school district,7982,1460,174,0.11917808219178082
3319,IN,18,7140,mooresville consolidated school corporation,24393,4544,590,0.12984154929577466
3320,IN,18,7230,mount pleasant township community school corporation,14030,2416,265,0.10968543046357616
3321,IN,18,7260,mount vernon community school corporation,19971,3881,301,0.0775573305849008
3322,IN,18,7290,mount vernon metropolitan school district,15676,2700,375,0.1388888888888889
3323,IN,18,7320,muncie community schools,68847,8007,2535,0.316597976770326
3324,IN,18,7350,munster school town,23282,4278,358,0.08368396446937822
3325,IN,18,7380,nettle creek school corporation,6993,1331,211,0.1585274229902329
3326,IN,18,7410,new albany-floyd county consolidated schools,76179,13222,1948,0.14733020723037363
3327,IN,18,7440,new castle community school corporation,23116,3723,729,0.19580983078162773
3328,IN,18,7470,new durham township metropolitan school district,8661,936,154,0.16452991452991453
3329,IN,18,7500,new harmony town and township consolidated schools,1319,164,16,0.0975609756097561
3330,IN,18,7560,new prairie united school corporation,15343,2836,494,0.17418899858956277
3331,IN,18,7620,nineveh-hensley-jackson united school corporation,10851,1999,278,0.13906953476738368
3332,IN,18,7650,noblesville schools,55730,11170,806,0.07215756490599821
3333,IN,18,7680,north adams community schools,15249,2642,389,0.14723694171082513
3334,IN,18,118,north central parke community school corporation,11261,1643,380,0.23128423615337795
3335,IN,18,7710,north daviess community schools,9189,2206,392,0.17769718948322757
3336,IN,18,7770,north gibson school corporation,14462,2437,443,0.18178087812884694
3337,IN,18,690,north harrison community school corporation,13718,2480,309,0.12459677419354839
3338,IN,18,7800,north judson-san pierre school corporation,7393,1323,261,0.19727891156462585
3339,IN,18,7830,north knox school corporation,8729,1383,261,0.18872017353579176
3340,IN,18,7860,north lawrence community schools,33800,5647,1020,0.18062688153001594
3341,IN,18,7890,north miami community schools,5853,1094,200,0.18281535648994515
3342,IN,18,7900,north montgomery community school corporation,12001,2176,326,0.14981617647058823
3343,IN,18,7920,north newton school corporation,9178,1565,223,0.14249201277955273
3344,IN,18,7950,north posey county schools metropolitan school district,8545,1474,138,0.09362279511533243
3345,IN,18,7980,north putnam community schools,10130,1775,254,0.14309859154929577
3346,IN,18,8010,north spencer county school corporation,11956,2005,170,0.08478802992518704
3347,IN,18,8070,north vermillion community school corporation,4339,711,108,0.1518987341772152
3348,IN,18,8100,north west hendricks schools,10378,2174,109,0.05013799448022079
3349,IN,18,8130,north white school corporation,6030,972,252,0.25925925925925924
3350,IN,18,8120,northeast dubois county school corporation,5494,1006,73,0.07256461232604373
3351,IN,18,8160,northeast school corporation,8509,1428,211,0.14775910364145659
3352,IN,18,8190,northeastern wayne schools,5728,1090,268,0.24587155963302754
3353,IN,18,8220,northern wells community schools,15308,2702,333,0.1232420429311621
3354,IN,18,8250,northwest allen county schools,36116,7854,526,0.06697224344283167
3355,IN,18,8310,northwestern consolidated school corporation,7710,1443,149,0.10325710325710326
3356,IN,18,2040,northwestern school corporation,8719,1603,200,0.12476606363069245
3357,IN,18,8340,oak hill united school corporation,7621,1338,180,0.13452914798206278
3358,IN,18,8460,oregon-davis school corporation,4355,732,151,0.2062841530054645
3359,IN,18,8490,orleans community schools,4711,894,235,0.26286353467561524
3360,IN,18,8640,paoli community school corporation,9217,1647,422,0.2562234365513054
3361,IN,18,8760,penn-harris-madison school corporation,61303,12028,1242,0.10325906218822747
3362,IN,18,1740,perry central community school corporation,7402,1112,118,0.10611510791366907
3363,IN,18,8820,perry township metropolitan school district,97123,16271,3580,0.22002335443426957
3364,IN,18,8850,peru community schools,13233,2235,515,0.23042505592841164
3365,IN,18,8900,pike county school corporation,12624,2072,304,0.14671814671814673
3366,IN,18,8910,pike township metropolitan school district,76058,13494,3145,0.23306654809544983
3367,IN,18,8940,pioneer regional school corporation,5128,917,158,0.1723009814612868
3368,IN,18,8970,plainfield community school corporation,29889,5049,454,0.08991879580114874
3369,IN,18,9060,plymouth community school corporation,19624,3609,637,0.17650318647824884
3370,IN,18,9150,portage township schools,47865,8644,1312,0.15178158260064784
3371,IN,18,9180,porter township school corporation,9527,1596,135,0.08458646616541353
3372,IN,18,9300,prairie heights community school corporation,9826,1649,291,0.17647058823529413
3373,IN,18,1770,randolph central school corporation,9589,1636,361,0.2206601466992665
3374,IN,18,3180,randolph eastern school corporation,5073,931,220,0.23630504833512353
3375,IN,18,10740,randolph southern school corporation,3156,578,97,0.16782006920415224
3376,IN,18,9420,rensselaer central school corporation,10722,1865,276,0.14798927613941018
3377,IN,18,9480,richland-bean blossom community school corporation,17923,3238,380,0.11735639283508338
3378,IN,18,9510,richmond community school corporation,41291,6061,1640,0.2705824121432107
3379,IN,18,9600,rising sun-ohio county community schools,6035,923,135,0.14626218851570963
3380,IN,18,4620,river forest community school corporation,7325,1323,397,0.3000755857898715
3381,IN,18,9630,rochester community school corporation,11518,1941,380,0.19577537351880475
3382,IN,18,9720,rossville consolidated school district,5017,1067,143,0.13402061855670103
3383,IN,18,9750,rush county schools,14798,2635,460,0.174573055028463
3384,IN,18,9810,salem community schools,12656,2105,419,0.1990498812351544
3385,IN,18,9990,scott county school district 1,6504,1189,330,0.27754415475189237
3386,IN,18,10020,scott county school district 2,17208,2851,669,0.2346545071904595
3387,IN,18,10080,seymour community schools,27930,4854,907,0.18685620107128142
3388,IN,18,10110,shakamak schools metropolitan school district,5315,928,214,0.23060344827586207
3389,IN,18,3210,shelby eastern schools,8490,1410,128,0.09078014184397164
3390,IN,18,10140,shelbyville central schools,23672,3974,729,0.18344237544036235
3391,IN,18,8280,shenandoah school corporation,7399,1326,176,0.13273001508295626
3392,IN,18,6480,sheridan community schools,6702,1275,176,0.1380392156862745
3393,IN,18,10170,shoals community school corporation,4453,719,132,0.1835883171070932
3394,IN,18,10230,smith-green community schools,7445,1362,118,0.08663729809104258
3395,IN,18,10260,south adams schools,10660,2515,950,0.37773359840954274
3396,IN,18,10290,south bend community school corporation,160514,26618,8060,0.3028026147719588
3397,IN,18,2190,south central community school corporation,4109,770,118,0.15324675324675324
3398,IN,18,240,south dearborn community school corporation,17061,3019,567,0.1878105332891686
3399,IN,18,10350,south gibson school corporation,12410,2293,252,0.10989969472307021
3400,IN,18,10360,south harrison community schools,21112,3494,554,0.15855752718946767
3401,IN,18,10380,south henry school corporation,4435,755,101,0.1337748344370861
3402,IN,18,10410,south knox school corporation,6104,1089,112,0.10284664830119375
3403,IN,18,10440,south madison community school corporation,25814,4678,422,0.09020949123557076
3404,IN,18,10450,south montgomery community school corporation,10568,1938,235,0.12125902992776058
3405,IN,18,10470,south newton school corporation,5156,876,152,0.1735159817351598
3406,IN,18,10500,south putnam community schools,9557,1226,184,0.1500815660685155
3407,IN,18,10530,south ripley community school corporation,7605,1264,229,0.18117088607594936
3408,IN,18,10560,south spencer county school corporation,8845,1553,231,0.14874436574372182
3409,IN,18,10590,south vermillion community school corporation,11354,1936,347,0.17923553719008264
3410,IN,18,10640,southeast dubois county school corporation,7376,1321,80,0.06056018168054504
3411,IN,18,10620,southeast fountain school corporation,6857,1163,236,0.20292347377472056
3412,IN,18,10680,southeastern school corporation,8333,1462,147,0.10054719562243503
3413,IN,18,10710,southern hancock county community school corporation,17834,3488,177,0.0507454128440367
3414,IN,18,10770,southern wells community schools,3953,742,93,0.12533692722371967
3415,IN,18,30,southwest allen county metropolitan school district,40283,8538,518,0.060669946123213865
3416,IN,18,10870,southwest dubois county school corporation,9747,1755,228,0.12991452991452992
3417,IN,18,10900,southwest parke community school corporation,5242,905,227,0.25082872928176797
3418,IN,18,10860,southwest school corporation,12541,1760,398,0.22613636363636364
3419,IN,18,10800,southwestern jefferson county consolidated schools,9450,1442,301,0.2087378640776699
3420,IN,18,10830,southwestern shelby county consolidated schools,4385,802,107,0.13341645885286782
3421,IN,18,10920,speedway school town,12215,1787,495,0.2770005595970901
3422,IN,18,10950,spencer-owen community schools,17473,2993,600,0.20046775810223855
3423,IN,18,10980,springs valley community school corporation,5698,968,225,0.23243801652892562
3424,IN,18,11100,steuben county metropolitan school district,18118,2951,525,0.17790579464588274
3425,IN,18,11190,sunman-dearborn community school corporation,24504,4690,433,0.09232409381663113
3426,IN,18,11220,switzerland county school corporation,10452,1953,493,0.2524321556579621
3427,IN,18,11250,taylor community school corporation,9320,1488,260,0.17473118279569894
3428,IN,18,11260,tell city-troy township school corporation,10480,1616,326,0.20173267326732675
3429,IN,18,11340,tippecanoe school corporation,94883,14735,1909,0.12955548014930438
3430,IN,18,11370,tippecanoe valley school corporation,11760,2196,343,0.15619307832422585
3431,IN,18,11400,tipton community school corporation,10548,1782,240,0.13468013468013468
3432,IN,18,8040,tipton county northern community school corporation,4867,852,53,0.062206572769953054
3433,IN,18,11430,tri-county school corporation,4274,804,116,0.14427860696517414
3434,IN,18,11460,tri-creek school corporation,20350,3792,440,0.1160337552742616
3435,IN,18,107,tri-township consolidated school corporation,2963,476,80,0.16806722689075632
3436,IN,18,11490,triton school corporation,5996,1247,157,0.12590216519647154
3437,IN,18,11580,twin lakes school corporation,14562,2423,396,0.16343375980189848
3438,IN,18,11610,union county-college corner joint school district,7613,1395,242,0.17347670250896058
3439,IN,18,11730,union school corporation,2887,503,91,0.18091451292246521
3440,IN,18,11700,union township school corporation,8957,1680,173,0.10297619047619047
3441,IN,18,11910,union-north united school corporation,7999,1486,228,0.15343203230148048
3442,IN,18,11970,valparaiso community schools,43992,6902,721,0.10446247464503043
3443,IN,18,12090,vigo county school corporation,108175,16092,4450,0.2765349241859309
3444,IN,18,12120,vincennes community school corporation,23105,3220,895,0.2779503105590062
3445,IN,18,12240,wa-nee community schools,21098,4570,512,0.11203501094091904
3446,IN,18,12150,wabash city schools,9085,1472,331,0.22486413043478262
3447,IN,18,12180,wabash county schools metropolitan school district,12948,2341,317,0.1354122170012815
3448,IN,18,6080,warren county metropolitan school district,7234,1205,178,0.14771784232365145
3449,IN,18,12360,warren township metropolitan school district,65925,13138,3342,0.2543766174455777
3450,IN,18,12390,warrick county school corporation,61149,11595,1135,0.09788702026735661
3451,IN,18,12420,warsaw community schools,40863,7445,1113,0.14949630624580254
3452,IN,18,12450,washington community school corporation,17913,3233,690,0.21342406433652955
3453,IN,18,12720,washington township metropolitan school district,90996,13487,2712,0.20108252391191517
3454,IN,18,5550,wawasee community school corporation,20168,3437,483,0.14052953156822812
3455,IN,18,12810,wayne township metropolitan school district,83661,14904,4489,0.30119431025228127
3456,IN,18,4500,wes-del community schools,5377,826,180,0.2179176755447942
3457,IN,18,9360,west central school corporation,4584,849,132,0.15547703180212014
3458,IN,18,9370,west clark community schools,27952,5057,475,0.09392920703974689
3459,IN,18,12870,west lafayette community school corporation,26398,2287,214,0.09357236554438128
3460,IN,18,12900,west noble school corporation,12972,2893,479,0.1655720705150363
3461,IN,18,12930,west washington school corporation,5645,1060,277,0.26132075471698113
3462,IN,18,12990,western boone county community school corporation,10302,1977,194,0.09812847749114821
3463,IN,18,4470,western school corporation,13037,2567,259,0.10089598753408648
3464,IN,18,13050,western wayne schools,5978,1049,234,0.223069590085796
3465,IN,18,13080,westfield-washington schools,36244,7951,489,0.06150169789963526
3466,IN,18,13110,westview school corporation,19589,5509,895,0.1624614267562171
3467,IN,18,8,white river valley school district,5707,940,215,0.22872340425531915
3468,IN,18,13200,whiting school city,4582,859,190,0.22118742724097787
3469,IN,18,13230,whitko community school corporation,10638,2000,377,0.1885
3470,IN,18,2280,whitley county consolidated schools,22912,3949,436,0.11040769815143074
3471,IN,18,2830,zionsville community schools,26601,6450,160,0.024806201550387597
3472,IA,19,4080,a-h-s-t community school district,3549,608,60,0.09868421052631579
3473,IA,19,3060,agwsr community school district,4461,683,81,0.11859443631039532
3474,IA,19,3090,adair-casey community school district,1966,360,47,0.13055555555555556
3475,IA,19,3150,adel-de soto-minburn community school district,8926,1762,109,0.061861520998864925
3476,IA,19,3220,akron-westfield community school district,3085,541,76,0.14048059149722736
3477,IA,19,31,albert city-truesdale community school district,1491,261,30,0.11494252873563218
3478,IA,19,3270,albia community school district,7339,1313,203,0.1546077684691546
3479,IA,19,3300,alburnett community school district,3350,604,65,0.1076158940397351
3480,IA,19,32,alden community school district,1550,255,71,0.2784313725490196
3481,IA,19,3360,algona community school district,8970,1483,156,0.10519217801753203
3482,IA,19,3390,allamakee community school district,8789,1416,264,0.1864406779661017
3483,IA,19,3480,alta community school district,2921,501,66,0.1317365269461078
3484,IA,19,3540,ames community school district,59293,4924,507,0.10296506904955322
3485,IA,19,3570,anamosa community school district,9381,1417,173,0.12208892025405788
3486,IA,19,3630,andrew community school district,1561,284,54,0.19014084507042253
3487,IA,19,3690,ankeny community school district,53209,10001,533,0.0532946705329467
3488,IA,19,3750,aplington-parkersburg community school district,4582,836,92,0.11004784688995216
3489,IA,19,3780,ar-we-va community school district,2097,378,35,0.09259259259259259
3490,IA,19,3850,armstrong-ringsted community school district,2030,282,33,0.11702127659574468
3491,IA,19,3930,atlantic community school district,8503,1407,235,0.1670220326936745
3492,IA,19,3960,audubon community school district,3401,544,79,0.14522058823529413
3493,IA,19,4020,aurelia community school district,1637,261,31,0.11877394636015326
3494,IA,19,4440,bcluw community school district,3399,623,60,0.09630818619582665
3495,IA,19,4200,ballard community school district,7767,1635,96,0.05871559633027523
3496,IA,19,4320,battle creek-ida grove community school district,3874,642,100,0.1557632398753894
3497,IA,19,4380,baxter community school district,1906,377,20,0.05305039787798409
3498,IA,19,4560,bedford community school district,3204,513,85,0.16569200779727095
3499,IA,19,4620,belle plaine community school district,3485,581,113,0.1944922547332186
3500,IA,19,4650,bellevue community school district,4346,735,63,0.08571428571428572
3501,IA,19,4680,belmond-klemme community school district,4245,726,100,0.13774104683195593
3502,IA,19,4740,bennett community school district,1295,237,25,0.10548523206751055
3503,IA,19,4830,benton community school district,9006,1672,105,0.06279904306220095
3504,IA,19,4860,bettendorf community school district,23483,4430,368,0.08306997742663656
3505,IA,19,5070,bondurant-farrar community school district,6719,1450,113,0.07793103448275862
3506,IA,19,5130,boone community school district,14526,2285,306,0.13391684901531728
3507,IA,19,5190,boyden-hull community school district,4382,1030,75,0.07281553398058252
3508,IA,19,9570,boyer valley community school district,2647,432,60,0.1388888888888889
3509,IA,19,5490,brooklyn-guernsey-malcom community school district,3303,532,52,0.09774436090225563
3510,IA,19,5790,burlington community school district,29803,5045,1148,0.2275520317145689
