,State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,poverty_proportion
560,AR,5,10080,mount vernon-enola school district,3131,575,77,0.13391304347826086
561,AR,5,43,mountain home school district,32573,4237,980,0.23129572810951143
562,AR,5,10170,mountain pine school district,4179,670,227,0.33880597014925373
563,AR,5,10200,mountain view school district,12284,1875,656,0.34986666666666666
564,AR,5,10260,mountainburg schools,4714,816,188,0.23039215686274508
565,AR,5,10290,mulberry school district,4215,680,154,0.22647058823529412
566,AR,5,10380,nashville school district,9308,1806,534,0.2956810631229236
567,AR,5,10410,nemo vista school district,2419,462,102,0.22077922077922077
568,AR,5,10440,nettleton school district,24876,3998,1203,0.3009004502251126
569,AR,5,30,nevada school district,2839,452,90,0.19911504424778761
570,AR,5,23,newport school district,11403,1555,532,0.34212218649517684
571,AR,5,10560,norfork schools,3742,531,104,0.1958568738229755
572,AR,5,10620,norphlet school district,2481,400,88,0.22
573,AR,5,10680,north little rock school district,57682,9702,2844,0.29313543599257885
574,AR,5,10920,omaha school district,2810,458,99,0.21615720524017468
575,AR,5,10950,osceola school district,7387,1489,644,0.432505036937542
576,AR,5,73,ouachita river school district,4229,713,188,0.26367461430575034
577,AR,5,10980,ouachita school district,2019,349,65,0.18624641833810887
578,AR,5,76,ozark mountain school district,4937,758,210,0.2770448548812665
579,AR,5,11010,ozark school district,10780,1903,454,0.23857067787703626
580,AR,5,51,palestine-wheatley school district,2225,375,118,0.31466666666666665
581,AR,5,11070,pangburn school district,3487,575,140,0.24347826086956523
582,AR,5,17,paragould school district,20890,3604,805,0.22336293007769145
583,AR,5,11130,paris school district,7150,1089,271,0.24885215794306703
584,AR,5,11220,parkers chapel school district,2729,554,91,0.16425992779783394
585,AR,5,3030,pea ridge school district,8765,1991,246,0.12355600200904068
586,AR,5,11340,perryville school district,5146,851,166,0.19506462984723855
587,AR,5,11370,piggott school district,5485,866,195,0.2251732101616628
588,AR,5,26,pine bluff school district,29973,5356,2041,0.38106796116504854
589,AR,5,11610,pocahontas school district,11052,1799,454,0.25236242356864924
590,AR,5,11700,pottsville public schools,5871,1177,193,0.16397621070518267
591,AR,5,11730,poyen school district,1204,212,37,0.17452830188679244
592,AR,5,11760,prairie grove school district,9895,2097,338,0.16118264186933715
593,AR,5,11820,prescott school district,5154,852,324,0.38028169014084506
594,AR,5,11850,pulaski county special school district,157046,26809,4357,0.16252004923719646
